KP [km],Distance step [m],Time [s],Elapsed time [hh:mm:ss],Elapsed time [s],Speed [km/h],Acceleration [m/s²],Equivalent grade [‰],Radius [m],Speed restriction [km/h],Tractive Effort [kN],Braking Effort [kN],Resistance [kN],Energy source
0.13600000,2.00000000,0.24000000,0:00:21,21.73867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.13800000,2.00000000,0.24000000,0:00:21,21.97867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.14000000,2.00000000,0.24000000,0:00:22,22.21867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.14200000,2.00000000,0.24000000,0:00:22,22.45867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.14400000,2.00000000,0.24000000,0:00:22,22.69867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.14600000,2.00000000,0.24000000,0:00:22,22.93867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.14800000,2.00000000,0.24000000,0:00:23,23.17867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.15000000,2.00000000,0.24000000,0:00:23,23.41867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.15200000,2.00000000,0.24000000,0:00:23,23.65867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.15400000,2.00000000,0.24000000,0:00:23,23.89867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.15600000,2.00000000,0.24000000,0:00:24,24.13867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.15800000,2.00000000,0.24000000,0:00:24,24.37867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.16000000,2.00000000,0.24000000,0:00:24,24.61867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.16200000,2.00000000,0.24000000,0:00:24,24.85867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.16400000,2.00000000,0.24000000,0:00:25,25.09867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
0.16600000,2.00000000,0.24000000,0:00:25,25.33867480,30.00000000,0.00000000,0.00000000,0.00000000,30.00000000,2.25386111,0.00000000,2.25386111,AC catenary
